id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,Term_Length,Length_Type,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1077430,GA,INDIVIDUAL,< 1 year,Ryder,C,RENT,2/11/2021,9/13/2021,4/13/2021,Charged Off,5/13/2021,1314167,car,C4,60,months,Source Verified,30000.00,0.01,59.83,0.15,2500.00,4.00,1009.00
1072053,CA,INDIVIDUAL,9 years,MKC Accounting,E,RENT,1/1/2021,12/14/2021,1/15/2021,Fully Paid,2/15/2021,1288686,car,E1,36,months,Source Verified,48000.00,0.05,109.43,0.19,3000.00,4.00,3939.00
1069243,CA,INDIVIDUAL,4 years,Chemat Technology Inc,C,RENT,1/5/2021,12/12/2021,1/9/2021,Charged Off,2/9/2021,1304116,car,C5,36,months,Not Verified,50000.00,0.21,421.65,0.16,12000.00,11.00,3522.00
1041756,TX,INDIVIDUAL,< 1 year,barnes distribution,B,MORTGAGE,2/25/2021,12/12/2021,3/12/2021,Fully Paid,4/12/2021,1272024,car,B2,60,months,Source Verified,42000.00,0.05,97.06,0.11,4500.00,9.00,4911.00
1068350,IL,INDIVIDUAL,10+ years,J&J Steel Inc,A,MORTGAGE,1/1/2021,12/14/2021,1/15/2021,Fully Paid,2/15/2021,1302971,car,A1,36,months,Verified,83000.00,0.02,106.53,0.06,3500.00,28.00,3835.00
1062608,CA,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,7/17/2021,3/16/2021,8/12/2021,Fully Paid,9/12/2021,1294481,car,C3,36,months,Not Verified,28000.00,0.13,275.96,0.15,8000.00,11.00,8637.00
1067441,TX,INDIVIDUAL,10+ years,American Airlines,C,MORTGAGE,11/19/2021,6/14/2021,12/13/2021,Fully Paid,1/13/2022,1301833,car,C2,36,months,Verified,94800.00,0.25,205.86,0.14,6000.00,30.00,7218.00
1066424,PA,INDIVIDUAL,10+ years,SCI Mahanoy,A,OWN,6/11/2021,7/14/2021,7/14/2021,Fully Paid,8/14/2021,1291243,car,A4,36,months,Source Verified,59000.00,0.07,172.10,0.08,5500.00,23.00,6172.00
1065254,FL,INDIVIDUAL,10+ years,Tech Data Corp,A,MORTGAGE,9/2/2021,6/15/2021,10/12/2021,Charged Off,11/12/2021,1299335,car,A5,36,months,Verified,116400.00,0.04,762.08,0.09,24000.00,31.00,8650.00
1064589,MI,INDIVIDUAL,10+ years,teltow contracting,B,MORTGAGE,2/9/2021,3/16/2021,3/16/2021,Fully Paid,4/16/2021,1298401,car,B5,60,months,Not Verified,36000.00,0.18,93.21,0.13,4125.00,21.00,5551.00
1057766,TX,INDIVIDUAL,10+ years,Ericsson,B,MORTGAGE,7/22/2021,9/13/2021,8/13/2021,Fully Paid,9/13/2021,1289131,car,B5,36,months,Not Verified,75000.00,0.09,181.15,0.13,5400.00,33.00,6277.00
1062734,CA,INDIVIDUAL,3 years,myrvpartsplace.com,B,RENT,9/11/2021,3/13/2021,10/12/2021,Charged Off,11/12/2021,1295018,car,B4,36,months,Not Verified,75000.00,0.23,374.26,0.12,11200.00,13.00,4225.00
1062654,CA,INDIVIDUAL,4 years,AEG LIVE,B,RENT,8/11/2021,10/13/2021,9/13/2021,Fully Paid,10/13/2021,1294929,car,B3,36,months,Not Verified,35000.00,0.04,165.38,0.12,5000.00,3.00,5728.00
1020855,CA,INDIVIDUAL,5 years,henkel corporation,B,RENT,12/11/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1249642,car,B5,36,months,Not Verified,48000.00,0.15,268.36,0.13,8000.00,15.00,9661.00
1060945,IL,INDIVIDUAL,4 years,AXA Assistance,B,RENT,10/11/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1293124,car,B4,36,months,Not Verified,92000.00,0.11,200.50,0.12,6000.00,18.00,7218.00
1060995,RI,INDIVIDUAL,< 1 year,HSA-UWC,B,RENT,12/11/2021,2/14/2021,10/13/2021,Charged Off,11/13/2021,1292578,car,B4,36,months,Source Verified,60000.00,0.06,400.99,0.12,12000.00,14.00,9547.00
